id,type,adaptations,description,diet,height,impact,lifespan,name,scientificName,status,type,waterRequirement,links
creosote_bush,plant,"[""Resinous coating on leaves prevents water loss"",""Toxins in soil prevent other plants from growing nearby (allelopathy)"",""Small leaves reduce surface area for evaporation"",""Can survive with just 75mm of annual rainfall""]","One of the most drought-tolerant plants, can live over 10,000 years.",,300,,,Creosote Bush,Larrea tridentata,,,very low,"[{""target"":""aridity"",""type"":""adapted_to""},{""target"":""sandy_soil"",""type"":""lives_in""},{""target"":""desert_poppy"",""type"":""interacts_with""}]"
desert_poppy,plant,"[""Seeds can remain dormant for years until rainfall"",""Quick lifecycle to complete before drought returns"",""Deep taproots to access underground moisture"",""Waxy leaf coating to reduce evaporation""]",Annual wildflower that blooms spectacularly after rains.,,30,,,Desert Poppy,Eschscholzia glyptosperma,,,low,"[{""target"":""aridity"",""type"":""adapted_to""}]"
heat,climate,,Daytime temperatures regularly exceeding 40°C (104°F) in summer.,,,extreme,,Extreme Heat,,,,,[]
temperature_variation,climate,,"Large daily temperature fluctuations, often exceeding 20°C between day and night.",,,high,,Temperature Variation,,,,,[]
aridity,climate,,"Low precipitation, typically less than 250mm annually, with high evaporation rates.",,,extreme,,Aridity,,,,,[]
sand_dunes,geological,,Mounds of windblown sand that can move and shift over time.,,,high,,Sand Dunes,,,,,[]
rocky_outcrops,geological,,Exposed rock formations that provide shade and shelter.,,,medium,,Rocky Outcrops,,,,,[]
oasis,water,,"Isolated water source surrounded by desert, often fed by underground springs.",,,high,,Oasis,,,,,[]
ephemeral_streams,water,,Temporary waterways that flow only after rainfall events.,,,medium,,Ephemeral Streams,,,,,[]
sandy_soil,soil,,Coarse-grained soil with poor water retention but good drainage.,,,high,,Sandy Soil,,,,,[]
desert_pavement,soil,,"Surface covered with closely packed rocks, protecting finer soil beneath.",,,medium,,Desert Pavement,,,,,[]
